Name,Team,URL,Sprint,Climber,Hills,GC,Time Trial,One Day Races
otto vergaerde,,https://www.procyclingstats.com/rider/otto-vergaerde,78,18,71,127,12,209
luca vergallito,,https://www.procyclingstats.com/rider/luca-vergallito,,89,44,168,12,16
carlos verona,,https://www.procyclingstats.com/rider/carlos-verona,44,1098,308,1451,21,462
louis vervaeke,,https://www.procyclingstats.com/rider/louis-vervaeke,34,384,170,534,175,328
jay vine,,https://www.procyclingstats.com/rider/jay-vine,9,790,308,728,601,57
nicolas vinokurov,,https://www.procyclingstats.com/rider/nicolas-vinokurov,62,28,54,47,26,58
aleksandr vlasov,,https://www.procyclingstats.com/rider/aleksandr-vlasov,95,3791,1314,3533,916,1418
michael woods,,https://www.procyclingstats.com/rider/michael-woods,186,4287,1675,2225,40,3038
adam yates,,https://www.procyclingstats.com/rider/adam-yates,150,6854,1928,6628,1211,2261
filippo zana,,https://www.procyclingstats.com/rider/filippo-zana,16,830,369,970,67,372
